No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Gambar_Rotate 90°
218,Tropicana Slim Nutty Chocolate Cookies,Snack Manis,20,Gram,0,80,Tropicana Slim Nutty Chocolate Cookies.jpg,
219,Relaxa Cuwi,Snack Manis,20,Gram,1,0,Relaxa Cuwi.jpg,
220,Pop Ice Mangga,Minuman Seduh,25,Gram,15,15,Pop Ice Mangga.png,
221,Pocky Strawberry Biscuit Stick,Snack Manis,21,Gram,7,45,Pocky Strawberry Biscuit Stick.jpg,
222,Pillows Cokelat,Snack Manis,12,Gram,4,25,Pillows Cokelat.jpg,
223,Oishi Sponge Crunch Yam Flavor,Snack Manis,18,Gram,3,25,Oishi Sponge Crunch Yam Flavor.jpg,
224,Nissin Finger Cheese Biskuit,Snack Asin,25,Gram,1,200,Nissin Finger Cheese Biskuit.jpg,
225,Momogi Jagung Bakar,Snack Asin,10,Gram,1,5,Momogi Jagung Bakar.jpg,
226,Mogu Mogu Manggo,Minuman Kemasan,160,mL,18,50,Mogu Mogu Manggo.jpg,
227,Mie Gemez Enaak,Snack Asin,20,Gram,0,240,Mie Gemez Enaak.jpg,
228,Melts Dark Chocolate Cookies,Snack Manis,10,Gram,3,0,Melts Dark Chocolate Cookies.jpg,
229,Maxicorn Barbeque,Snack Asin,20,Gram,1,100,Maxicorn Barbeque.jpg,
230,Lemonilo Chimi Keripik Ubi,Snack Asin,20,Gram,1,60,Lemonilo Chimi Keripik Ubi.jpg,
231,Lemonilo Bronies Crispy Chocochips,Snack Manis,15,Gram,7,10,Lemonilo Bronies Crispy Chocochips.png,
232,Kusuka Keripik Singkong Balado Pedas,Snack Asin,15,Gram,1,45,Kusuka Keripik Singkong Balado Pedas.jpg,
233,Kopiko Sugar Free Coffe Candy,Snack Manis,6,Gram,0,5,Kopiko Sugar Free Coffe Candy.jpg,
234,Kacang Koro Pedas Dua Kelinci,Snack Asin,25,Gram,2,180,Kacang Koro Pedas Dua Kelinci.png,
235,Jack 'n Jill Piattos Potato Crisps Cheese,Snack Asin,30,Gram,2,170,Jack 'n Jill Piattos Potato Crisps Cheese.png,
236,Ice Cream AICE Mochi Vanilla,Snack Manis,30,Gram,6,15,Ice Cream AICE Mochi Vanilla.png,
237,Ice Cream AICE Mochi Klepon,Snack Manis,45,mL,6,10,Ice Cream AICE Mochi Klepon.png,
238,Happy Tos Tortilla Chips,Snack Asin,28,Gram,0,135,Happy Tos Tortilla Chips.png,
239,Fruit Tea Apel,Minuman Kemasan,250,mL,22,60,Fruit Tea Apel.jpg,
240,East Cashew Yava Chocolate Vanilla,Snack Manis,20,Gram,1,125,East Cashew Yava Chocolate Vanilla.jpg,
241,Chitato Keju Supreme,Snack Asin,20,Gram,1,80,Chitato Keju Supreme.jpg,
242,Buavita Jeruk,Minuman Kemasan,250,mL,23,5,Buavita Jeruk.jpg,
243,Biskuit Oreo Original,Snack Manis,"27,6",Gram,11,140,Biskuit Oreo Original.jpg,
244,Apollo Roka Wafer Ball,Snack Manis,30,Gram,10,5,Apollo Roka Wafer Ball.png,
245,Tricks Kimchi,Snack Asin,12,Gram,2,60,,
246,Oishi Popcorn Strawberry,Snack Manis,20,Gram,7,95,,
247,Nissin Wallens Blueberry,Snack Manis,16,Gram,4,35,,
248,Slai O'lai Nanas,Snack Manis,24,Gram,6,50,,
249,Golda Coffe,Minuman Kemasan,200,mL,15,105,,
250,Permen Hot Hot Ball Mangga,Snack Manis ,7,Gram,5,10,,
251,NoriGo Pedas,Snack Asin,2.5,Gram,1,35,,
252,Fullo Vanilla Milk,Snack Manis,7,Gram,3,25,,
253,Pocky Cokelat (Sachet),Snack Manis,10,Gram,3,20,,
254,Biskuat Cokelat,Snack Manis,7.6,Gram,2,30,,
255,Yupi Bolicious Blackberry,Snack Manis,5,Gram,3,0,,
256,Yupi Burger Max,Snack Manis,9,Gram,5,5,,
257,Lemonilo Brownies Crunchy Chocolate,Snack Manis,15,Gram,5,10,,
258,Lemonilo Chimi Keripik Ubi Karamel Mentega,Snack Manis,20,Gram,1,55,,
259,Lemonilo Chimi Keripik Ubi Jagung Bakar,Snack Asin,25,Gram,3,80,,
260,Lemonilo Chimi Keripik Ubi Cheese Burger,Snack Asin,20,Gram,2,50,,
261,Susu Tango Banana Pudding,Minuman Kemasan,125,mL,10,130,,
262,Tango Wafer Vanilla Delight,Snack Manis,20,Gram,4,80,,
263,Tao Kae Noi Crispy Seaweed Original,Snack Asin,4,Gram,0,20,,
264,Best Wok Mie Goreng Black Pepper Seafood,Mie Instan,80,Gram,5,970,,
265,Mama Suka Muffin Pisang,Snack Manis,20,Gram,10,90,,
266,Mama Suka Gimbori Seaweed Original Flavour,Snack Asin,3,Gram,0,25,,
267,Mama Suka Gimbori Seaweed SpicyFlavour,Snack Asin,3,Gram,0,40,,
268,Frost Bite Es Krim Boba Milk Tea with Brown Sugar,Snack Manis,60,mL,13,35,,
269,Frost Bite Es Krim Susu Cookies and Cream Mochi,Snack Manis,46,mL,8,20,,
270,Frost Bite Es Krim Susu Choco Lava Mochi,Snack Manis,46,mL,10,25,,
271,Frost Bite Es Krim Susu Strawberry Sakura Mochi,Snack Manis,46,mL,10,20,,
272,Frost Bite Jcone Es Krim Black and Pink,Snack Manis,90,mL,14,25,,
273,Frost Bite Jcone Es Krim Cookies and Cream,Snack Manis,80,mL,14,35,,
274,Frost Bite Es Krim Cup Strawberry Vanilla,Snack Manis,90,mL,15,20,,
275,Frost Bite Es Krim Cup Cookies and Cream,Snack Manis,30,mL,10,55,,
276,Indomie Hype Abis Mie Nyemek Rendang Jogja,Mie Instan,84,Gram,8,1030,,
277,Khong Guan Cream Wafer Coconut,Snack Manis,25,Gram,8,20,,
278,Khong Guan Saltcheese Combociz,Snack Manis,17,Gram,5,55,,
279,Obuchi Popcorn Carammel,Snack Manis,28,Gram,3,15,,
280,Lokalate Kopi Berondong Popcorn Latte,Minuman Kemasan,185,mL,6,55,,
281,Diamond Milk Bubble Gum ,Minuman Kemasan,125,mL,11,80,,
282,Tricks Potato Baked Chips Original,Snack Asin,12,Gram,2,85,,
283,"Milna Nature Delight Fruit Puree Banana, Strawberry, Apple",Snack Manis,80,Gram,12,5,,
284,Milna Rice Crackers Sweet Potato Carrot,Snack Manis,20,Gram,3,50,,
285,Milna Biskuit Bayi Pisang,Snack Manis,22,Gram,5,5,,
286,Milna Nature Delight Fruit Puree Apple and Peach,Snack Manis,80,Gram,13,0,cellmage_312819832_228.jpg,cellmage_312819832_229.jpg
287,Heavenly Blush Yogurto Dorinku Peach,Minuman Kemasan,125,mL,12,80,,
288,Heavenly Blush Yogurto Dorinku Blackcurrant,Minuman Kemasan,125,mL,13,75,,
289,Lotte Koala March Cokelat,Snack Manis,37,Gram,12,75,,
290,Lotte Choco Pie Marshmallow Strawberry,Snack Manis,25,Gram,6,60,,
291,Lotte Toppo Vanilla Chocolate,Snack Manis,40,Gram,10,115,,
292,Lotte Koala's March Krim Stoberi,Snack Manis,37,Gram,11,79,,
293,Nissin Ramen Yakisoba Takoyaki,Mie Instan,,,4,910,,
294,Fitbar Fruits Delight,Snack Manis,,Gram,6,25,,
295,Energen Champion Twin Pack,Minuman Seduh,35,Gram,21,90,,
296,Teajus Gula Batu,Minuman Seduh,6,Gram,5,0,,
297,Teajus Lemon,Minuman Seduh,6,Gram,5,0,,
298,Monde Snack Gold,Snack Asin,20,Gram,3,35,,
299,Monde Bromon Wafers Strawberry Susu,Snack Manis,25,Gram,7,35,,
300,Monde Pola Snack Kentang Klasik,Snack Manis,25,Gram,2,75,,
301,Monde Shortbread,Snack Manis,20,Gram,4,50,,
302,Monde Bromon Cookies Original,Snack Manis,20,Gram,5,10,,
303,Indomaret Cashew Milk Chocolate,Snack Manis,30,Gram,11,25,,
304,Indomaret Roasted Chickpeas Kacang Arab Panggang,Snack Asin,30,Gram,2,115,,
305,Kokola Kukis Susu Vanilla,Snack Manis,30,Gram,7,120,,
306,Gery Salut Chocolate Coconut,Snack Manis,22,Gram,5,120,,
307,Mie Sedaap White Curry,Mie Instan,81,Gram,3,840,cellmage_312819832_330.jpg,cellmage_312819832_331.jpg
308,Aice Watermelon Ice Cream,Snack Manis,65,Gram,13,0,,
309,Es Krim Wall's Corn,Snack Manis,98,mL,9,35,,
310,Ice Cream Wall's Choco Nutty Crunch,Snack Manis,100,mL,15,40,,
311,Diamond Milk Susu UHT Full Cream,Minuman Kemasan,200,mL,6,100,,
312,Sunpride 100% Fruit Juice Pineapple Guava,Minuman Kemasan,200,mL,18,20,,
313,Sunpride 100% Fruit Juice Pineapple Passion Fruit,Minuman Kemasan,200,mL,24,25,,
314,Sunpride 100% Fruit Juice Pineapple Apple Fruit,Minuman Kemasan,200,mL,16,20,,
315,Kopi Kenangan Royal Cheese Latte (botol),Minuman Kemasan,200,mL,2,170,,
316,Kopi Kenangan Japanese Matcha Espresso (botol),Minuman Kemasan,200,mL,17,160,,
317,Kopi Kenangan Arabica Blend Kopi Susu Black Aren,Minuman Kemasan,220,mL,14,200,,
318,Springlee Salted Egg Potato Chips,Snack Asin,20,Gram,1,180,,
319,Sosis So Nice Sapi Pedas,Snack Asin,50,Gram,1,520,,
320,Sosi So Nice Otak Otak,Snack Asin,63,Gram,0,450,,
321,Sosis So Nice Ayam ,Snack Asin,51,Gram,0,400,,
322,Bagelen Crunchy French Toast,Snack Manis,19.5,Gram,7,110,,
323,Probitas Bagelen Cream Cheese Spread,Snack Manis,15,Gram,2,120,,
324,Super Bihun Kuah,Mie Instan,51,Gram,0,1190,,
325,Super Bubur Kuah Kari,Mie Instan,46,Gram,1,720,,
